Dictionary Name,Dictionary URI,Class Name,Class Code,Class Description,Class URI
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Busbar terminal,EC000001,"Terminal for the array of conductors, which are used as central distributor of electric power, as all",https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000001
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Residual current circuit breaker (RCCB),EC000003,A safety device that disconnects a circuit when leakage current is detected.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000003
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Cable end sleeve,EC000005,A protective sleeve used to terminate and secure the end of a cable.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000005
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Cover plate for installation units,EC000006,A protective plate that covers electrical installation components.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000006
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Cover frame for domestic switching devices,EC000007,A decorative or protective frame surrounding switches or sockets.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000007
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Tap off unit for busbar trunk,EC000008,A device that allows branching from a busbar trunking system.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000008
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Hammer set anchor,EC000009,A fastening element that expands when driven into a drilled hole.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000009
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Combination of contactors,EC000010,"Contactor = Electromagnetic switch for load switching purposes (loads = motors, electric heaters, big",https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000010
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Control element/cover plate for domestic switching devices,EC000011,A component used to operate or cover switches and sockets.,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000011
ETIM,https://identifier.buildingsmart.org/uri/etim/etim/latest,Slotted cable trunking system,EC000012,System with breakout-side bars for the wiring installation in a control cabinet and is thus used for ,https://identifier.buildingsmart.org/uri/etim/etim/10.0/class/EC000012
