Dictionary,Code,Name,Text
ETIM,EC000001,Busbar terminal,"Terminal for the array of conductors, which are used as central distributor of electric power, as all"
ETIM,EC000003,Residual current circuit breaker (RCCB),A safety device that disconnects a circuit when leakage current is detected.
ETIM,EC000005,Cable end sleeve,A protective sleeve used to terminate and secure the end of a cable.
ETIM,EC000006,Cover plate for installation units,A protective plate that covers electrical installation components.
ETIM,EC000007,Cover frame for domestic switching devices,A decorative or protective frame surrounding switches or sockets.
ETIM,EC000008,Tap off unit for busbar trunk,A device that allows branching from a busbar trunking system.
ETIM,EC000009,Hammer set anchor,A fastening element that expands when driven into a drilled hole.
ETIM,EC000010,Combination of contactors,"Contactor = Electromagnetic switch for load switching purposes (loads = motors, electric heaters, big"
ETIM,EC000011,Control element/cover plate for domestic switching devices,A component used to operate or cover switches and sockets.
ETIM,EC000012,Slotted cable trunking system,System with breakout-side bars for the wiring installation in a control cabinet and is thus used for 
ETIM,EC000013,Base plate for surface mounted wiring devices,A mounting plate that provides support for surface-installed electrical devices.
ETIM,EC000014,Incandescent lamp tube-shaped,A tubular-shaped lamp that emits light by heating a filament.
ETIM,EC000016,Explosion proof CEE socket outlet (IEC 60309),A socket outlet designed to safely operate in explosive atmospheres.
ETIM,EC000017,Explosion proof CEE-plug/-coupler (IEC 60309),A plug or coupler designed for safe use in hazardous environments.
ETIM,EC000018,Insert/cover for communication technology,A component used to house or protect communication device connections.
ETIM,EC000019,Coaxial cable,"A type of cable with a central conductor, insulating layer, and shielding for signal transmission."
ETIM,EC000020,Combination of switch/push button with socket outlet,A unit integrating a switch or push button with a power socket.
ETIM,EC000022,Bracket for cable support system,A structural support used to secure cable management systems.
ETIM,EC000023,Cover for wall duct/Installation column,A protective covering for cable ducts or installation columns.
ETIM,EC000024,Device installation insert for subfloor installation,Element which is suitable for work-related installation of electrical equipment in duct systems as we
ETIM,EC000025,Dimmer,A device that adjusts the brightness of a connected light source.
ETIM,EC000026,Low Voltage HRC solid link,Component which is mounted on NH fuse bases and is used instead of HRC fuses for switching and discon
ETIM,EC000028,Threaded rod,A long rod with external threading used for fastening or mounting.
ETIM,EC000029,Push button,A control device that activates or deactivates a circuit when pressed.
ETIM,EC000030,End switch,A switch that detects the position of a moving part and triggers a response.
ETIM,EC000032,Plug for cable screw gland,A sealing plug used to close an unused cable gland opening.
ETIM,EC000033,Mounting strap,A flexible strip used to secure electrical components or cables.
ETIM,EC000034,Fibre optic cable,A cable that transmits data using light signals through optical fibers.
ETIM,EC000036,Miniature fuse holder,A small component designed to house and secure a fuse.
ETIM,EC000037,Halogen metal halide lamp without reflector,A high-intensity discharge lamp that produces bright white light without a built-in reflector.
ETIM,EC000038,High voltage halogen lamp without reflector,A halogen lamp designed for high voltage applications without an integrated reflector.
ETIM,EC000040,Cavity fixing,A fastening device designed for securing objects in hollow structures.
ETIM,EC000041,Auxiliary contact block,A supplementary electrical contact that extends functionality in control circuits.
ETIM,EC000042,Miniature circuit breaker (MCB),A miniature circuit breaker is an automatically operated electrical switch that protects an electrica
ETIM,EC000044,Window blind switch,Component which connects or disconnects an electrically conductive connection by means of two electri
ETIM,EC000045,Candle-shaped incandescent lamp,An incandescent light bulb designed to resemble a candle.
ETIM,EC000046,Cable tie,A fastener used to bundle and secure cables or wires.
ETIM,EC000047,Cable tray,A support system used to route and manage cables in buildings.
ETIM,EC000048,Anchor bolt,A heavy-duty fastener used to secure objects to concrete or masonry.
ETIM,EC000050,Chain,"A series of connected metal links used for lifting, securing, or transmitting force."
ETIM,EC000051,Sphere-shaped incandescent lamp,A round incandescent lamp that emits light by heating a filament.
ETIM,EC000052,Coupler for plinth skirting duct,A connector used to join sections of plinth skirting ducts.
ETIM,EC000054,Incandescent lamp with ring head,A filament-based light bulb with a circular or ring-shaped head.
ETIM,EC000055,Knife blade fuse,"A protective electrical fuse with flat, blade-like terminals."
ETIM,EC000056,Mercury vapour lamp,A high-intensity discharge lamp that uses mercury vapour to produce light.
ETIM,EC000058,Empty cabinet,Case for the installation of module system fields
ETIM,EC000059,Mini/maxi trunking,A closed cable management system used in electrical installations to enclose and protect wires and ca
ETIM,EC000060,Hood for light signalling unit,A protective cover for a light signaling component.
ETIM,EC000061,Light pole,A vertical structure designed to support lighting fixtures.
ETIM,EC000062,Luminaire for streets and places,A lighting fixture designed for outdoor public areas and roadways.
ETIM,EC000064,Information light signal for domestic switching devices,A visual indicator integrated into a domestic switch or control device.
ETIM,EC000065,Loudspeaker cable,Two-wire electric cable which connects the speaker terminals of an audio amplifier to a loudspeaker b
ETIM,EC000067,Low Voltage HRC fuse base,A holder designed to accommodate high rupturing capacity (HRC) fuses in low-voltage applications.
ETIM,EC000068,Meter board,A panel used for mounting electrical meters and associated equipment.
ETIM,EC000069,Multimeter,"A measuring instrument used to test voltage, current, and resistance."
ETIM,EC000070,Microphone,A device that converts sound waves into electrical signals.
ETIM,EC000071,Mounting system for busbar trunk,A structural system used to install and secure busbar trunking.
ETIM,EC000073,Junction box for wall duct,An enclosure for housing electrical connections within a wall duct system.
ETIM,EC000074,Motor protection circuit-breaker,"Motor-protective circuit-breakers are circuit-breakers used for the switching, protection and isolati"
ETIM,EC000075,Plug in (night) light,"A small light that plugs into an electrical socket, often for nighttime illumination."
ETIM,EC000078,Standard-shaped incandescent lamp,A general-purpose incandescent bulb with a conventional shape.
ETIM,EC000079,Appliance box for skirting duct,A housing unit integrated into a skirting duct for electrical connections.
ETIM,EC000080,Surface mounted box for flush-mounted switching equipment,An enclosure for mounting flush-switching devices onto a surface.
ETIM,EC000082,Ceiling profile for cable support system,A structural support element for routing cables along ceilings.
ETIM,EC000083,Transition cover section for installation duct,A cover piece used to transition between different duct sections.
ETIM,EC000084,Sleeve for compacted conductor,A protective or connecting sleeve for compacted electrical conductors.
ETIM,EC000085,D-system screw adaptor,Component that is installed in the fuse base and prevents that fuses can be used with a higher rated 
ETIM,EC000086,Perilex socket outlet,A specialized multi-phase power socket for high-power appliances.
ETIM,EC000087,Compact fluorescent lamp without integrated ballast,A fluorescent light source requiring an external ballast for operation.
ETIM,EC000088,Skirting duct complete,A fully assembled cable management system integrated into a skirting board.
ETIM,EC000089,All-purpose plug,A universal electrical plug compatible with various socket types.
ETIM,EC000090,Potential equalization socket outlet,A socket designed to equalize electrical potential and reduce grounding differences.
ETIM,EC000091,Busbar trunk unit,An enclosed system of conductors used for distributing electrical power efficiently within buildings 
ETIM,EC000092,Screw hook,A metal hook with a threaded end for securing into surfaces.
