GlobalId,Name,Text
3zabDWVTjE5e1194ETqKie,Project Name,. Author: Author; Authorization: Authorization; Description: ViewDefinition[CoordinationView]; Implementation Level: 2;1; Organization: Organization; Originating System: IDEA Architecture 19; Preprocessor Version: 4M BIM IFC Engine; Schema Identifiers: IFC2X3; Time Stamp: 2019-04-16T12:36:25
0kyKIgyZHEIPvUuqedVMUS,The site,. Project: Project Name; Top Elevation: 10.4225; Bottom Elevation: -5; Global Top Elevation: 10.4225; Global Bottom Elevation: -5; Has Own Geometry: 0; Children Have Geometry: 1; Global X: -27.7624750266767; Global Y: -26.4175911519532; Global Z: -5; Bounding Box Length: 40.819975365553; Bounding Box Width: 55.4149463383118; Bounding Box Height: 15.4225
0f$K0vqADB1QayhzP8PH_7,Level 2,. Project: Project Name; Building: The building; Top Elevation: 3.55; Bottom Elevation: -5; Global Top Elevation: 3.55; Global Bottom Elevation: -5; Has Own Geometry: 0; Children Have Geometry: 1; Global X: -27.7624750266767; Global Y: -26.4175911519532; Global Z: -5; Bounding Box Length: 40.819975365553; Bounding Box Width: 55.4149463383118; Bounding Box Height: 8.55
2YYF8qh596jQ9mDIdCJZ36,Wall 50 cm,. IsExternal: 1; WAHG: 3.3; WHLR: 4360BCB873FB40F; Project: Project Name; Building: The building; Storey: Level 2; Top Elevation: 1.3; Bottom Elevation: -2; Global Top Elevation: 1.3; Global Bottom Elevation: -2; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -27.7624750266767; Global Y: 20.6908534189387; Global Z: -2; Bounding Box Length: 6.10802456738808; Bounding Box Width: 0.527351430507412; Bounding Box Height: 3.3
2Q2yLCxvT8JAxwSE_WkVcv,Wall 50 cm,. IsExternal: 1; WAHG: 3.5; WHLR: 4360BCB873FB430; Project: Project Name; Building: The building; Storey: Level 2; Top Elevation: 1.5; Bottom Elevation: -2; Global Top Elevation: 1.5; Global Bottom Elevation: -2; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -21.9719863545323; Global Y: 19.1820445231746; Global Z: -2; Bounding Box Length: 1.95980581673915; Bounding Box Width: 1.99201478305253; Bounding Box Height: 3.5
1OaXrqlkf38O434cmv_vU9,Wall 50 cm,. IsExternal: 1; WAHG: 5.3; WHLR: 4360BCB873FB5E7; Project: Project Name; Building: The building; Storey: Level 2; Top Elevation: 1.3; Bottom Elevation: -4; Global Top Elevation: 1.3; Global Bottom Elevation: -4; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -27.6935476057333; Global Y: 6.70503311028332; Global Z: -4; Bounding Box Length: 2.20335321370776; Bounding Box Width: 14.010635209393; Bounding Box Height: 5.3
3384XrcxrEvhSGazjHMd7N,Wall 50 cm,. IsExternal: 1; WAHG: 2.05; WHLR: 4360BCB87387E1A; Project: Project Name; Building: The building; Storey: Level 2; Top Elevation: -1.45; Bottom Elevation: -3.5; Global Top Elevation: -1.45; Global Bottom Elevation: -3.5; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -0.942920502696889; Global Y: -19.3654790703837; Global Z: -3.5; Bounding Box Length: 0.983781495235781; Bounding Box Width: 2.32718792816306; Bounding Box Height: 2.05
1bs47WhI16NgvX4Ns2cRF0,Wall 50 cm,. IsExternal: 1; WAHG: 3.9; WHLR: 4360BCB8738D17C; Project: Project Name; Building: The building; Storey: Level 2; Top Elevation: 0.9; Bottom Elevation: -3; Global Top Elevation: 0.9; Global Bottom Elevation: -3; Has Own Geometry: 1; Children Have Geometry: 0; Global X: 12.3611858479466; Global Y: -6.24916107602387; Global Z: -3; Bounding Box Length: 0.525215776306577; Bounding Box Width: 4.30277853841407; Bounding Box Height: 3.9
2pdhHrZPjA99RhcSSDOc0Q,Wall 50 cm,. IsExternal: 1; WAHG: 3.5; WHLR: 4360BCB873FB1A6; Project: Project Name; Building: The building; Storey: Level 2; Top Elevation: 1.5; Bottom Elevation: -2; Global Top Elevation: 1.5; Global Bottom Elevation: -2; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -14.128957468207; Global Y: 22.9231747497684; Global Z: -2; Bounding Box Length: 4.95735782745004; Bounding Box Width: 2.16662388157513; Bounding Box Height: 3.5
1byS$yfhHEExHUqyZRgdFE,Wall 50 cm,. IsExternal: 1; WAHG: 3.5; WHLR: 4360BCB873FB1F1; Project: Project Name; Building: The building; Storey: Level 2; Top Elevation: 1.5; Bottom Elevation: -2; Global Top Elevation: 1.5; Global Bottom Elevation: -2; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -16.2052189319424; Global Y: 20.2119193870201; Global Z: -2; Bounding Box Length: 2.38972146599276; Bounding Box Width: 3.12942845569382; Bounding Box Height: 3.5
1G2xbz6fD2YuhA0fWvxf$p,Wall 15 cm,. IsExternal: 0; WAHG: 1.6; WHLR: 4360BCB877301CE; Project: Project Name; Building: The building; Storey: Level 2; Top Elevation: -0.9; Bottom Elevation: -2.5; Global Top Elevation: -0.9; Global Bottom Elevation: -2.5; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -6.17953602888514; Global Y: -13.0064244404712; Global Z: -2.5; Bounding Box Length: 0.220704770803539; Bounding Box Width: 0.203966283671827; Bounding Box Height: 1.6
0VGiEtg0P6xhw0iN__FnCq,Wall 15 cm,. IsExternal: 0; WAHG: 1.6; WHLR: 4360BCB8773025D; Project: Project Name; Building: The building; Storey: Level 2; Top Elevation: -0.9; Bottom Elevation: -2.5; Global Top Elevation: -0.9; Global Bottom Elevation: -2.5; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -6.67321656241189; Global Y: -12.7939333268841; Global Z: -2.5; Bounding Box Length: 0.227645119859163; Bounding Box Width: 0.215037178967865; Bounding Box Height: 1.6
1CKni20cD6pPAV1JBGcCw3,Wall 15 cm,. IsExternal: 0; WAHG: 1.6; WHLR: 4360BCB877302DA; Project: Project Name; Building: The building; Storey: Level 2; Top Elevation: -0.9; Bottom Elevation: -2.5; Global Top Elevation: -0.9; Global Bottom Elevation: -2.5; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -6.98728045039775; Global Y: -12.6227354369669; Global Z: -2.5; Bounding Box Length: 0.230801474222432; Bounding Box Width: 0.221031931361562; Bounding Box Height: 1.6
0IrPIzvyb9wOJcH8wvSlp$,Wall 15 cm,. IsExternal: 0; WAHG: 1.6; WHLR: 4360BCB87730502; Project: Project Name; Building: The building; Storey: Level 2; Top Elevation: -0.9; Bottom Elevation: -2.5; Global Top Elevation: -0.9; Global Bottom Elevation: -2.5; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -8.60146961640678; Global Y: -11.3123259565614; Global Z: -2.5; Bounding Box Length: 0.258634205220281; Bounding Box Width: 0.24554892453256; Bounding Box Height: 1.6
1xSkqoBMP4GfzKQ4fNcBb_,Wall 15 cm,. IsExternal: 0; WAHG: 1.6; WHLR: 4360BCB87730562; Project: Project Name; Building: The building; Storey: Level 2; Top Elevation: -0.9; Bottom Elevation: -2.5; Global Top Elevation: -0.9; Global Bottom Elevation: -2.5; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -8.95140159757931; Global Y: -11.0745354680367; Global Z: -2.5; Bounding Box Length: 0.257954723031258; Bounding Box Width: 0.237493575665679; Bounding Box Height: 1.6
1q2cQbFer6OgCsYIxMNqcX,Wall 15 cm,. IsExternal: 0; WAHG: 1.6; WHLR: 4360BCB8773043F; Project: Project Name; Building: The building; Storey: Level 2; Top Elevation: -0.9; Bottom Elevation: -2.5; Global Top Elevation: -0.9; Global Bottom Elevation: -2.5; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -7.96660689439635; Global Y: -11.8523401319237; Global Z: -2.5; Bounding Box Length: 0.232375643544608; Bounding Box Width: 0.236536718840323; Bounding Box Height: 1.6
2n5Nf3My12qulmq2uKz8mG,Wall 15 cm,. IsExternal: 0; WAHG: 1.6; WHLR: 4360BCB877304A1; Project: Project Name; Building: The building; Storey: Level 2; Top Elevation: -0.9; Bottom Elevation: -2.5; Global Top Elevation: -0.9; Global Bottom Elevation: -2.5; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -8.27236327606121; Global Y: -11.5789395089539; Global Z: -2.5; Bounding Box Length: 0.257329906297315; Bounding Box Width: 0.251720859261896; Bounding Box Height: 1.6
2dDarVKIz4QxzWkBT$hVnI,Wall 15 cm,. IsExternal: 0; WAHG: 1.6; WHLR: 4360BCB877301FE; Project: Project Name; Building: The building; Storey: Level 2; Top Elevation: -0.9; Bottom Elevation: -2.5; Global Top Elevation: -0.9; Global Bottom Elevation: -2.5; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -6.34682671708261; Global Y: -12.9416317022171; Global Z: -2.5; Bounding Box Length: 0.223308708862959; Bounding Box Width: 0.207927726423652; Bounding Box Height: 1.6
10wcs1ZqjDsgBfZiMiZMM3,Wall 15 cm,. IsExternal: 0; WAHG: 1.6; WHLR: 4360BCB87730592; Project: Project Name; Building: The building; Storey: Level 2; Top Elevation: -0.9; Bottom Elevation: -2.5; Global Top Elevation: -0.9; Global Bottom Elevation: -2.5; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -9.13334412075581; Global Y: -10.967027873631; Global Z: -2.5; Bounding Box Length: 0.256872098619107; Bounding Box Width: 0.232778377058702; Bounding Box Height: 1.6
3O5FQC_sf3_x56qt_jIImC,Wall 15 cm,. IsExternal: 0; WAHG: 1.6; WHLR: 4360BCB8773017D; Project: Project Name; Building: The building; Storey: Level 2; Top Elevation: -0.9; Bottom Elevation: -2.5; Global Top Elevation: -0.9; Global Bottom Elevation: -2.5; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -5.83784718423266; Global Y: -13.1174771537945; Global Z: -2.5; Bounding Box Length: 0.214642303378896; Bounding Box Width: 0.195255635811408; Bounding Box Height: 1.6
2i9yj3ZpH3pgS5UO0C5r_H,Wall 15 cm,. IsExternal: 0; WAHG: 1.6; WHLR: 4360BCB87730316; Project: Project Name; Building: The building; Storey: Level 2; Top Elevation: -0.9; Bottom Elevation: -2.5; Global Top Elevation: -0.9; Global Bottom Elevation: -2.5; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -7.13917867177853; Global Y: -12.5285968646845; Global Z: -2.5; Bounding Box Length: 0.231931775625472; Bounding Box Width: 0.223601353631663; Bounding Box Height: 1.6
