GlobalId,Name,Text
1L5063dWPC$QdUCSTm2w_l,ASPWRZ,". Author: MaciekMAD/Maciek; Description: ViewDefinition [CoordinationView_V2.0]; Implementation Level: 2;1; Organization: Structural Designer; Originating System: Tekla Structures 17.0 Build:10027/23.12.2011, IFC Export Version: 306Dec 16 2011; Preprocessor Version: IFC Database Version:Work; Schema Identifiers: IFC2X3; Time Stamp: 2011-07-12T17:19:12"
1qjbGAI9T6BvurC1LlNiYL,Undefined,. Project: ASPWRZ; Top Elevation: 9769.41879833486; Bottom Elevation: -3954.5185806801; Global Top Elevation: 9769.41879833486; Global Bottom Elevation: -3954.5185806801; Has Own Geometry: 0; Children Have Geometry: 1; Global X: 697.881980348896; Global Y: -26431.1757121508; Global Z: -3954.5185806801; Bounding Box Length: 74112.2778199777; Bounding Box Width: 22464.3019117849; Bounding Box Height: 13723.937379015
0QlTeidbPB3PxneOz96_Et,Undefined,. Project: ASPWRZ; Top Elevation: 9769.41879833486; Bottom Elevation: -3954.5185806801; Global Top Elevation: 9769.41879833486; Global Bottom Elevation: -3954.5185806801; Has Own Geometry: 0; Children Have Geometry: 1; Global X: 697.881980348896; Global Y: -26168.8096562203; Global Z: -3954.5185806801; Bounding Box Length: 74112.2778199777; Bounding Box Width: 22201.9358558544; Bounding Box Height: 13723.937379015
3XlmgDE7D3cARPL5v0dg0A,Undefined,. Project: ASPWRZ; Building: Undefined; Top Elevation: 9769.41879833486; Bottom Elevation: -3954.5185806801; Global Top Elevation: 9769.41879833486; Global Bottom Elevation: -3954.5185806801; Has Own Geometry: 0; Children Have Geometry: 1; Global X: 697.881980348896; Global Y: -26168.8096562203; Global Z: -3954.5185806801; Bounding Box Length: 74112.2778199777; Bounding Box Width: 22201.9358558544; Bounding Box Height: 13723.937379015
1Fs6Ih00001p4pCparE34s,pret,. Dlugosc: 1990; Material: BST500; Numer preta: 123; Rozmiar: 8; Waga calkowita: 51.8793; Waga jednego preta: 0.78605; Project: ASPWRZ; Building: Undefined; Storey: Undefined; Top Elevation: 437.993183619173; Bottom Elevation: 430.005699511399; Global Top Elevation: 437.993183619173; Global Bottom Elevation: 430.005699511399; Has Own Geometry: 1; Children Have Geometry: 0; Global X: 23072.2242080988; Global Y: -15192.8149597017; Global Z: 430.005699511399; Bounding Box Length: 9757.14952275272; Bounding Box Width: 1990.01022390299; Bounding Box Height: 7.98748410777387; Layer: TS_4 kondygnacja I - belki i plyty schody
1Fs6Ih0000JJ4pCparE3Kn,pret,. Dlugosc: 10010; Material: BST500; Numer preta: 122; Rozmiar: 8; Waga calkowita: 35.586735; Waga jednego preta: 3.95395; Project: ASPWRZ; Building: Undefined; Storey: Undefined; Top Elevation: 445.993183593695; Bottom Elevation: 438.006778259649; Global Top Elevation: 445.993183593695; Global Bottom Elevation: 438.006778259649; Has Own Geometry: 1; Children Have Geometry: 0; Global X: 22945.7988921911; Global Y: -15001.3799626505; Global Z: 438.006778259649; Bounding Box Length: 10010.3574476817; Bounding Box Width: 1607.14952314889; Bounding Box Height: 7.98640533404529; Layer: TS_4 kondygnacja I - belki i plyty schody
1Fs6Ih0000bZ4pCparE3Kr,pret,. Dlugosc: 989; Material: BST500; Numer preta: 145; Rozmiar: 8; Waga calkowita: 38.29999; Waga jednego preta: 0.390655; Project: ASPWRZ; Building: Undefined; Storey: Undefined; Top Elevation: 489.889612667768; Bottom Elevation: 253.998907311648; Global Top Elevation: 489.889612667768; Global Bottom Elevation: 253.998907311648; Has Own Geometry: 1; Children Have Geometry: 0; Global X: 23080.9637661059; Global Y: -13902.804761873; Global Z: 253.998907311648; Bounding Box Length: 9707.67041456023; Bounding Box Width: 769.889549489824; Bounding Box Height: 235.89070535612; Layer: TS_4 kondygnacja I - belki i plyty schody
1Fs6Ih0001SJ4pCparE3Oq,pret,. Dlugosc: 1039; Material: BST500; Numer preta: 146; Rozmiar: 8; Waga calkowita: 40.23549; Waga jednego preta: 0.410405; Project: ASPWRZ; Building: Undefined; Storey: Undefined; Top Elevation: 489.890691183654; Bottom Elevation: 253.9999805022; Global Top Elevation: 489.890691183654; Global Bottom Elevation: 253.9999805022; Has Own Geometry: 1; Children Have Geometry: 0; Global X: 23113.3201762211; Global Y: -15312.708568633; Global Z: 253.9999805022; Bounding Box Length: 9707.67154766487; Bounding Box Width: 819.903331972584; Bounding Box Height: 235.890710681454; Layer: TS_4 kondygnacja I - belki i plyty schody
1FsQrr00004p4pCpasDZKt,pret,. Dlugosc: 981; Material: BST500; Numer preta: 147; Rozmiar: 8; Waga calkowita: 7.36517; Waga jednego preta: 0.387495; Project: ASPWRZ; Building: Undefined; Storey: Undefined; Top Elevation: 481.889830889822; Bottom Elevation: 253.999979398623; Global Top Elevation: 481.889830889822; Global Bottom Elevation: 253.999979398623; Has Own Geometry: 1; Children Have Geometry: 0; Global X: 32256.1564724446; Global Y: -15057.6404128605; Global Z: 253.999979398623; Bounding Box Length: 769.889542451005; Bounding Box Width: 1719.67038902329; Bounding Box Height: 227.889851491199; Layer: TS_4 kondygnacja I - belki i plyty schody
1FsQrr0000$p4pCpasDZWn,pret,. Dlugosc: 1750; Material: BST500; Numer preta: 121; Rozmiar: 8; Waga calkowita: 13.13375; Waga jednego preta: 0.69125; Project: ASPWRZ; Building: Undefined; Storey: Undefined; Top Elevation: 481.993377210236; Bottom Elevation: 474.006778259649; Global Top Elevation: 481.993377210236; Global Bottom Elevation: 474.006778259649; Has Own Geometry: 1; Children Have Geometry: 0; Global X: 21895.7988935306; Global Y: -15057.3898042269; Global Z: 474.006778259649; Bounding Box Length: 1750.0000008836; Bounding Box Width: 1719.15977705804; Bounding Box Height: 7.98659895058717; Layer: TS_4 kondygnacja I - belki i plyty schody
1FsQrr0001DZ4pCpasDZWv,pret,. Dlugosc: 1689; Material: BST500; Numer preta: 148; Rozmiar: 8; Waga calkowita: 18.684685; Waga jednego preta: 0.667155; Project: ASPWRZ; Building: Undefined; Storey: Undefined; Top Elevation: 489.890014363238; Bottom Elevation: 254.000004159022; Global Top Elevation: 489.890014363238; Global Bottom Elevation: 254.000004159022; Has Own Geometry: 1; Children Have Geometry: 0; Global X: 20102.9620115349; Global Y: -15312.7043467468; Global Z: 254.000004159022; Bounding Box Length: 2707.68096176059; Bounding Box Width: 1469.90902137805; Bounding Box Height: 235.890010204217; Layer: TS_4 kondygnacja I - belki i plyty schody
1FsQrr0001P34pCpasDZam,pret,. Dlugosc: 2000; Material: BST500; Numer preta: 120; Rozmiar: 8; Waga calkowita: 13.43; Waga jednego preta: 0.79; Project: ASPWRZ; Building: Undefined; Storey: Undefined; Top Elevation: 489.99320738963; Bottom Elevation: 482.006629187568; Global Top Elevation: 489.99320738963; Global Bottom Elevation: 482.006629187568; Has Own Geometry: 1; Children Have Geometry: 0; Global X: 21241.2245757589; Global Y: -12570.9996567203; Global Z: 482.006629187568; Bounding Box Length: 1569.14842411997; Bounding Box Width: 2000; Bounding Box Height: 7.98657820206114; Layer: TS_4 kondygnacja I - belki i plyty schody
1FsQrr0001jZ4pCpasDZao,pret,. Dlugosc: 1381; Material: BST500; Numer preta: 149; Rozmiar: 8; Waga calkowita: 20.734735; Waga jednego preta: 0.545495; Project: ASPWRZ; Building: Undefined; Storey: Undefined; Top Elevation: 481.889680194223; Bottom Elevation: 254.000004615071; Global Top Elevation: 481.889680194223; Global Bottom Elevation: 254.000004615071; Has Own Geometry: 1; Children Have Geometry: 0; Global X: 19770.8753455202; Global Y: -15057.6364587353; Global Z: 254.000004615071; Bounding Box Length: 1169.92017762522; Bounding Box Width: 3701.47397947992; Bounding Box Height: 227.889675579152; Layer: TS_4 kondygnacja I - belki i plyty schody
1FsQrr0001qZ4pCpasDZaq,pret,. Dlugosc: 1639; Material: BST500; Numer preta: 150; Rozmiar: 8; Waga calkowita: 7.77044; Waga jednego preta: 0.647405; Project: ASPWRZ; Building: Undefined; Storey: Undefined; Top Elevation: 489.889708353057; Bottom Elevation: 253.999882570634; Global Top Elevation: 489.889708353057; Global Bottom Elevation: 253.999882570634; Has Own Geometry: 1; Children Have Geometry: 0; Global X: 20025.9641169583; Global Y: -12570.9996571506; Global Z: 253.999882570634; Bounding Box Length: 1107.6704145603; Bounding Box Width: 1419.88954948982; Bounding Box Height: 235.889825782423; Layer: TS_4 kondygnacja I - belki i plyty schody
1FsQrr00023Z4pCpasDZar,pret,. Dlugosc: 1331; Material: BST500; Numer preta: 151; Rozmiar: 8; Waga calkowita: 9.99192; Waga jednego preta: 0.525745; Project: ASPWRZ; Building: Undefined; Storey: Undefined; Top Elevation: 481.889992148968; Bottom Elevation: 254.000003169079; Global Top Elevation: 481.889992148968; Global Bottom Elevation: 254.000003169079; Has Own Geometry: 1; Children Have Geometry: 0; Global X: 21895.798243716; Global Y: -13092.6502540546; Global Z: 254.000003169079; Bounding Box Length: 1119.88954245225; Bounding Box Width: 1736.48581870635; Bounding Box Height: 227.889988979888; Layer: TS_4 kondygnacja I - belki i plyty schody
