GlobalId,Name,Text
0a3v3dJi10mxIqGCSrYdxN,0001,. Description: ViewDefinition [CoordinationView_V2.0]; Implementation Level: 2;1; Originating System: 21.0.0.383 - Exporter 21.0.0.383 - Alternate UI 21.0.0.383; Preprocessor Version: The EXPRESS Data Manager Version 5.02.0100.07 : 28 Aug 2013; Schema Identifiers: IFC2X3; Time Stamp: 2021-11-21T06:45:25
0a3v3dJi10mxIqGCSrYdxL,Default,. Category: Project Information; Project: 0001; Top Elevation: 12250.0000000003; Bottom Elevation: -150.031390487338; Global Top Elevation: 12250.0000000003; Global Bottom Elevation: -150.031390487338; Has Own Geometry: 0; Children Have Geometry: 1; Global X: -87425.8269556931; Global Y: -23518.2550642611; Global Z: -150.031390487338; Bounding Box Length: 162370.097199126; Bounding Box Width: 131182.102680056; Bounding Box Height: 12400.0313904876
0a3v3dJi10mxIqGCSrYdxM,N/A,. Address lines: Enter address here; Country: MA; Region: Boston; IsLandmarked: 9.88131291682493E-324; NumberOfStoreys: 5; Category: Project Information; Project: 0001; Top Elevation: 12250.0000000003; Bottom Elevation: -150.031390487338; Global Top Elevation: 12250.0000000003; Global Bottom Elevation: -150.031390487338; Has Own Geometry: 0; Children Have Geometry: 1; Global X: -87425.8269556931; Global Y: -23518.2550642611; Global Z: -150.031390487338; Bounding Box Length: 162370.097199126; Bounding Box Width: 131182.102680056; Bounding Box Height: 12400.0313904876
0a3v3dJi10mxIqGCVATO0G,Street level,. Name: Street level; AboveGround: 9.88131291682493E-324; Category: Levels; Name: Street level; Project: 0001; Top Elevation: 8950; Bottom Elevation: -150.031390487338; Global Top Elevation: 8950; Global Bottom Elevation: -150.031390487338; Has Own Geometry: 0; Children Have Geometry: 1; Global X: -87425.8269556931; Global Y: -23518.2550642611; Global Z: -150.031390487338; Bounding Box Length: 162370.097199126; Bounding Box Width: 131182.102680056; Bounding Box Height: 9100.03139048734
0ZRQUHwuv8SOaxY18jH6Mu,Floor:Generic 150mm - Filled:348347,. Roughness: 914.4; Category: Floors; Reference: Generic 150mm - Filled; Reference: Generic 150mm - Filled; IsExternal: 0; LoadBearing: 0; PitchAngle: 0; Reference: Generic 150mm - Filled; Project: 0001; Storey: Street level; Top Elevation: 0; Bottom Elevation: -150; Global Top Elevation: 0; Global Bottom Elevation: -150; Has Own Geometry: 1; Children Have Geometry: 1; Global X: -17523.3908484548; Global Y: -22170.2665725993; Global Z: -150; Bounding Box Length: 36186.8180176245; Bounding Box Width: 36389.9830814245; Bounding Box Height: 150; Layer: A-FLOR
0OYSuH3T9CufsaYBbdUcUQ,Floor:Generic 150mm - Filled:348347:2,. Roughness: 914.4; Reference: Generic 150mm - Filled; Category: Floors; Reference: Generic 150mm - Filled; Project: 0001; Storey: Street level; Top Elevation: 0; Bottom Elevation: -150; Global Top Elevation: 0; Global Bottom Elevation: -150; Has Own Geometry: 1; Children Have Geometry: 0; Global X: 3127.98110080635; Global Y: -19011.9973489164; Global Z: -150; Bounding Box Length: 7200.97156685533; Bounding Box Width: 10768.8111371028; Bounding Box Height: 150; Layer: A-FLOR
0ZRQUHwuv8SOaxY18jH6Nj,Floor:Street:348398,. Roughness: 914.4; Category: Floors; Reference: Street; Reference: Street; IsExternal: 0; LoadBearing: 0; PitchAngle: 0; Reference: Street; ThermalTransmittance: 7.66666666666667; Project: 0001; Storey: Street level; Top Elevation: 0; Bottom Elevation: -150; Global Top Elevation: 0; Global Bottom Elevation: -150; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -87425.8269556931; Global Y: -23518.2550642611; Global Z: -150; Bounding Box Length: 162370.097199126; Bounding Box Width: 131182.102680056; Bounding Box Height: 150; Layer: A-FLOR
1a4rX7oO92KvTbFQs2wfqs,Ramp:Ramp 1:471387,. Category: Ramps; Reference: Ramp 1; IsExternal: 0; Reference: Ramp 1; Project: 0001; Storey: Street level; Top Elevation: 450.000000000002; Bottom Elevation: -150.031390487338; Global Top Elevation: 450.000000000002; Global Bottom Elevation: -150.031390487338; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -16473.0666860757; Global Y: -7957.6873489826; Global Z: -150.031390487338; Bounding Box Length: 5911.51369409867; Bounding Box Width: 23699.2167515163; Bounding Box Height: 600.03139048734; Layer: A-FLOR-LEVL
2lWrGK6Aj43QEHo8Gwf52A,Assembled Stair:Stair:571581,. Category: Stairs; Reference: 190mm max riser 250mm going; IsExternal: 0; NumberOfRiser: 3; NumberOfTreads: 2; Reference: 190mm max riser 250mm going; RiserHeight: 150; TreadLength: 250; Project: 0001; Storey: Street level; Top Elevation: 1550; Bottom Elevation: -8.88178419700125E-13; Global Top Elevation: 1550; Global Bottom Elevation: -8.88178419700125E-13; Has Own Geometry: 0; Children Have Geometry: 1; Global X: -2599.35947863727; Global Y: 2368.81609259143; Global Z: -8.88178419700125E-13; Bounding Box Length: 9659.64485636276; Bounding Box Width: 4629.81634122745; Bounding Box Height: 1550.00000000001
2lWrGK6Aj43QEHo8Gwf53_,Assembled Stair:Stair:571581 Run 1,. Category: Runs; Reference: 50mm Tread 13mm Riser; NosingLength: 0; NumberOfRiser: 3; NumberOfTreads: 2; Reference: 50mm Tread 13mm Riser; RiserHeight: 150; TreadLength: 250; TreadLengthAtInnerSide: 250; TreadLengthAtOffset: 250; Project: 0001; Storey: Street level; Top Elevation: 400; Bottom Elevation: 0; Global Top Elevation: 400; Global Bottom Elevation: 0; Has Own Geometry: 1; Children Have Geometry: 0; Global X: -2572.84297434277; Global Y: 2369.67158607494; Global Z: 0; Bounding Box Length: 9584.82920262166; Bounding Box Width: 4593.60550868463; Bounding Box Height: 400; Layer: S-STRS
