GlobalId,Opis_IFC,Kod_bSDD,Nazwa_klasy_bSDD,Słownik,Podobieństwo
1X2Y3Z,"Ściana zewnętrzna, IfcWall, Ściana zewnętrzna, betonowa, grubość 25cm",L-NCB,Wall covering,CCI,0.6278
4A5B6C,"Drzwi jednoskrzydłowe, IfcDoor, Drzwi z drewna, malowane, w otworze 90cm",L-NBB,Leaf of large door,CCI,0.6392
7D8E9F,"Okno PCV, IfcWindow, Okno dwuszybowe PCV, rozwierno-uchylne, szerokość 120cm",Ac_15_50_25,"Doors, windows and glazing surveying",Uniclass,0.4115
0A1B2C,"Strop żelbetowy, IfcSlab, Strop monolityczny z betonu B25, grubość 20cm",Ac_15_50_17,Concrete cover surveying,Uniclass,0.6164
3E4F5G,"Słup stalowy, IfcColumn, Słup stalowy HEA, wysokość 3m",Ac_15_50_73,Roof surveying,Uniclass,0.5651
6H7I8J,"Płyta fundamentowa, IfcSlab, Płyta żelbetowa, fundamentowa, grubość 30cm",Ac_15_50_52,Metalwork surveying,Uniclass,0.5829
9K0L1M,"Dach dwuspadowy, IfcRoof, Konstrukcja drewniana, pokrycie blachą trapezową",L-NCE,Roofing,CCI,0.6524
2N3O4P,"Balustrada stalowa, IfcRailing, Balustrada z wypełnieniem z prętów stalowych",Ac_15_45_35,Historic building surveying,Uniclass,0.5745
5Q6R7S,"Schody prefabrykowane, IfcStair, Schody żelbetowe, prefabrykowane, 15 stopni",Ac_30_60_42,Ironing,Uniclass,0.6009
8T9U0V,"Drzwi przeciwpożarowe, IfcDoor, Drzwi EI60 stalowe, dymoszczelne",L-NBB,Leaf of large door,CCI,0.6382
